date,Open,High,Low,Close*,Adj Close**,volume
2021-09-27,4169.14,4202.7,4147.33,4201.62,4201.62,4504860000.0
2021-09-26,4177.06,4187.72,4160.94,4167.59,4167.59,4029050000.0
2021-09-25,4179.04,4179.04,4128.59,4164.66,4164.66,4441080000.0
2021-09-24,4191.98,4209.39,4188.03,4192.66,4192.66,4061170000.0
2021-09-23,4198.1,4198.1,4174.85,4181.17,4181.17,4273680000.0
2021-09-22,4206.14,4218.78,4176.81,4211.47,4211.47,4288940000.0
2021-09-21,4185.14,4201.53,4181.78,4183.18,4183.18,3772390000.0
2021-09-20,4188.25,4193.35,4176.22,4186.72,4186.72,3703240000.0
2021-09-19,4185.03,4194.19,4182.36,4187.62,4187.62,3738920000.0
2021-09-18,4138.78,4194.17,4138.78,4180.17,4180.17,3568080000.0
2021-09-17,4170.46,4179.57,4123.69,4134.98,4134.98,4235040000.0
2021-09-16,4128.42,4175.02,4126.35,4173.42,4173.42,3865820000.0
2021-09-15,4159.18,4159.18,4118.38,4134.94,4134.94,4338230000.0
2021-09-14,4179.8,4180.81,4150.47,4163.26,4163.26,3788020000.0
2021-09-13,4174.14,4191.31,4170.75,4185.47,4185.47,4157430000.0
2021-09-12,4139.76,4173.49,4139.76,4170.42,4170.42,4027680000.0
2021-09-11,4141.58,4151.69,4120.87,4124.66,4124.66,3976540000.0
2021-09-10,4130.1,4148.0,4124.43,4141.59,4141.59,3728440000.0
2021-09-09,4124.71,4131.76,4114.82,4127.99,4127.99,3578500000.0
2021-09-08,4096.11,4129.48,4095.51,4128.8,4128.8,3634910000.0
2021-09-07,4089.95,4098.19,4082.54,4097.17,4097.17,3901910000.0
2021-09-06,4074.29,4083.13,4068.31,4079.95,4079.95,4112640000.0
2021-09-05,4075.57,4086.23,4068.14,4073.94,4073.94,4027880000.0
2021-09-04,4034.44,4083.42,4034.44,4077.91,4077.91,3999760000.0
2021-09-03,3992.78,4020.63,3992.78,4019.87,4019.87,4151240000.0
2021-09-02,3967.25,3994.41,3966.98,3972.89,3972.89,4564980000.0
2021-09-01,3963.34,3968.01,3944.35,3958.55,3958.55,4103570000.0
2021-08-31,3969.31,3981.83,3943.25,3971.09,3971.09,4619840000.0
2021-08-30,3917.12,3978.19,3917.12,3974.54,3974.54,5467850000.0
2021-08-29,3879.34,3919.54,3853.5,3909.52,3909.52,4940800000.0
2021-08-28,3919.93,3942.08,3889.07,3889.14,3889.14,4766990000.0
2021-08-27,3937.6,3949.13,3901.57,3910.52,3910.52,4645340000.0
2021-08-26,3916.48,3955.31,3914.16,3940.59,3940.59,4311380000.0
2021-08-25,3913.14,3930.12,3886.75,3913.1,3913.1,7725050000.0
2021-08-24,3953.5,3969.62,3910.86,3915.46,3915.46,4043170000.0
2021-08-23,3949.57,3983.87,3935.74,3974.12,3974.12,4541620000.0
2021-08-22,3973.59,3981.04,3953.44,3962.71,3962.71,4604870000.0
2021-08-21,3942.96,3970.08,3923.54,3968.94,3968.94,4882190000.0
2021-08-20,3924.52,3944.99,3915.21,3943.34,3943.34,4469240000.0
2021-08-19,3915.54,3960.27,3915.54,3939.34,3939.34,5300010000.0
2021-08-18,3891.99,3917.35,3885.73,3898.81,3898.81,5827250000.0
2021-08-17,3851.93,3903.76,3851.93,3875.44,3875.44,5496340000.0
2021-08-16,3844.39,3881.06,3819.25,3821.35,3821.35,5852240000.0
2021-08-15,3793.58,3851.69,3730.19,3841.94,3841.94,6842570000.0
2021-08-14,3818.53,3843.67,3723.34,3768.47,3768.47,7142240000.0
2021-08-13,3863.99,3874.47,3818.86,3819.72,3819.72,6150790000.0
2021-08-12,3903.64,3906.41,3868.57,3870.29,3870.29,5493690000.0
2021-08-11,3842.51,3914.5,3842.51,3901.82,3901.82,5071540000.0
2021-08-10,3839.66,3861.08,3789.54,3811.15,3811.15,6512950000.0
2021-08-09,3915.8,3925.02,3814.04,3829.34,3829.34,6513060000.0
2021-08-08,3873.71,3928.65,3859.6,3925.43,3925.43,5942350000.0
2021-08-07,3857.07,3895.98,3805.59,3881.37,3881.37,6280650000.0
2021-08-06,3885.55,3902.92,3874.71,3876.5,3876.5,5870190000.0
2021-08-05,3921.16,3930.41,3903.07,3906.71,3906.71,4823940000.0
2021-08-04,3915.86,3921.98,3885.03,3913.97,3913.97,4773430000.0
2021-08-03,3918.5,3933.61,3900.43,3931.33,3931.33,4718280000.0
2021-08-02,3939.61,3950.43,3923.85,3932.59,3932.59,5037360000.0
2021-08-01,3911.65,3937.23,3905.78,3934.83,3934.83,4119260000.0
2021-07-31,3916.4,3925.99,3890.39,3916.38,3916.38,4570080000.0
2021-07-30,3920.78,3931.5,3884.94,3909.88,3909.88,4815380000.0
2021-07-29,3910.49,3918.35,3902.64,3911.23,3911.23,4554610000.0
2021-07-28,3892.59,3915.77,3892.59,3915.59,3915.59,4635030000.0
2021-07-27,3878.3,3894.56,3874.93,3886.83,3886.83,4838580000.0
2021-07-26,3836.66,3872.42,3836.66,3871.74,3871.74,4856670000.0
2021-07-25,3840.27,3847.51,3816.68,3830.17,3830.17,4846900000.0
2021-07-24,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000.0
2021-07-23,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000.0
2021-07-22,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000.0
2021-07-21,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000.0
2021-07-20,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000.0
2021-07-19,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
2021-07-18,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000.0
2021-07-17,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000.0
2021-07-16,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000.0
2021-07-15,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000.0
2021-07-14,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000.0
2021-07-13,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000.0
2021-07-12,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000.0
2021-07-11,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000.0
2021-07-10,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000.0
2021-07-09,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000.0
2021-07-08,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000.0
2021-07-07,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000.0
2021-07-06,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-07-05,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-07-04,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-07-03,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-07-02,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-07-01,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-06-30,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-06-29,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-06-28,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-06-27,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-06-26,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-06-25,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-06-24,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-06-23,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-06-22,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-06-21,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-06-20,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-06-19,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000.0
2021-06-18,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
2021-06-17,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000.0
2021-06-16,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000.0
2021-06-15,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000.0
2021-06-14,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000.0
2021-06-13,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000.0
2021-06-12,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000.0
2021-06-11,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000.0
2021-06-10,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000.0
2021-06-09,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000.0
2021-06-08,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000.0
2021-06-07,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000.0
2021-06-06,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000.0
2021-06-05,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-06-04,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-06-03,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-06-02,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-06-01,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-05-31,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-05-30,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-05-29,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-05-28,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-05-27,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-05-26,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-05-25,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-05-24,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-05-23,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-05-22,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-05-21,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-05-20,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-05-19,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-05-18,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-05-17,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-05-16,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-05-15,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-05-14,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-05-13,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-05-12,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-05-11,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-05-10,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-05-09,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-05-08,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-05-07,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-05-06,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-05-05,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-05-04,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-05-03,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-05-02,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-05-01,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-04-30,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-04-29,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-04-28,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-04-27,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-04-26,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-04-25,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-04-24,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-04-23,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-04-22,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000.0
2021-04-21,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000.0
2021-04-20,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000.0
2021-04-19,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000.0
2021-04-18,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000.0
2021-04-17,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
2021-04-16,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000.0
2021-04-15,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000.0
2021-04-14,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000.0
2021-04-13,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000.0
2021-04-12,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000.0
2021-04-11,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000.0
2021-04-10,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000.0
2021-04-09,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000.0
2021-04-08,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000.0
2021-04-07,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000.0
2021-04-06,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000.0
2021-04-05,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000.0
2021-04-04,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-04-03,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-04-02,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-04-01,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-03-31,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-03-30,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-03-29,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-03-28,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-03-27,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-03-26,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-03-25,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-03-24,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-03-23,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-03-22,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-03-21,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-03-20,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-03-19,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-03-18,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-03-17,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-03-16,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000.0
2021-03-15,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000.0
2021-03-14,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000.0
2021-03-13,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000.0
2021-03-12,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000.0
2021-03-11,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
2021-03-10,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000.0
2021-03-09,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000.0
2021-03-08,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000.0
2021-03-07,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000.0
2021-03-06,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000.0
2021-03-05,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000.0
2021-03-04,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000.0
2021-03-03,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000.0
2021-03-02,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000.0
2021-03-01,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000.0
2021-02-28,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000.0
2021-02-27,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000.0
2021-02-26,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-02-25,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-02-24,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-02-23,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-02-22,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-02-21,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-02-20,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-02-19,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-02-18,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-02-17,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-02-16,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-02-15,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-02-14,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-02-13,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-02-12,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-02-11,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-02-10,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-02-09,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-02-08,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-02-07,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-02-06,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-02-05,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-02-04,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-02-03,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-02-02,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-02-01,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-01-31,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-01-30,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-01-29,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-01-28,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-01-27,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-01-26,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
